Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.2684503560183952
75% Corpus,2,0.01,0.31,0.275536359126775
75% Corpus,2,0.01,0.61,0.3101820165670919
75% Corpus,2,0.01,0.9099999999999999,0.3060254849687306
75% Corpus,2,0.01,symmetric,0.3121945435982588
75% Corpus,2,0.31,0.01,0.25642142432896753
75% Corpus,2,0.31,0.31,0.27189483856001984
75% Corpus,2,0.31,0.61,0.26663165198205424
75% Corpus,2,0.31,0.9099999999999999,0.26936525330983707
75% Corpus,2,0.31,symmetric,0.2666316519820543
75% Corpus,2,0.61,0.01,0.26628175006397414
75% Corpus,2,0.61,0.31,0.26732486413487233
75% Corpus,2,0.61,0.61,0.2728742683391431
75% Corpus,2,0.61,0.9099999999999999,0.2697407896767088
75% Corpus,2,0.61,symmetric,0.27287426833914313
75% Corpus,2,0.9099999999999999,0.01,0.2913700269911052
75% Corpus,2,0.9099999999999999,0.31,0.27710745225695294
75% Corpus,2,0.9099999999999999,0.61,0.2869684855420811
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.2869684855420811
75% Corpus,2,0.9099999999999999,symmetric,0.2902136015587392
75% Corpus,2,symmetric,0.01,0.280139244831776
75% Corpus,2,symmetric,0.31,0.27047711774060135
75% Corpus,2,symmetric,0.61,0.2739592024615878
75% Corpus,2,symmetric,0.9099999999999999,0.2697407896767088
75% Corpus,2,symmetric,symmetric,0.2724987319722714
75% Corpus,2,asymmetric,0.01,0.2501058787998071
75% Corpus,2,asymmetric,0.31,0.2759731044231277
75% Corpus,2,asymmetric,0.61,0.30605622906511587
75% Corpus,2,asymmetric,0.9099999999999999,0.30342152647439125
75% Corpus,2,asymmetric,symmetric,0.28739049173810954
75% Corpus,3,0.01,0.01,0.28577988702636203
75% Corpus,3,0.01,0.31,0.2711387345308085
75% Corpus,3,0.01,0.61,0.2770212704278461
75% Corpus,3,0.01,0.9099999999999999,0.287691089576298
75% Corpus,3,0.01,symmetric,0.2729153355626542
75% Corpus,3,0.31,0.01,0.29841087545198636
75% Corpus,3,0.31,0.31,0.2935530436691767
75% Corpus,3,0.31,0.61,0.29999690455616485
75% Corpus,3,0.31,0.9099999999999999,0.30995947080807595
75% Corpus,3,0.31,symmetric,0.2997634805539819
75% Corpus,3,0.61,0.01,0.29455720231602756
75% Corpus,3,0.61,0.31,0.2948629633047118
75% Corpus,3,0.61,0.61,0.30479450571623506
75% Corpus,3,0.61,0.9099999999999999,0.3178834298458491
75% Corpus,3,0.61,symmetric,0.2947126950826627
