tweet_id,tweet,city,year
0,bad thing say government medical spare operation stop fooling people model hospital andheri part operation doctor saying getting better part opration satish dubey mumbai,Mumbai,2022
1,netas family admitted government hospital private hospital cannot treat way corrupt netas realise common man suffers netas enjoying life public money,Mumbai,2022
2,govandi one hotspot well respiratory disease cause dirtiness unvaccinations pollution drinking water unavailability lack medicine lack health post lack knowledge doctor panel lack staff government hospital,Mumbai,2022
3,till medical negligence exist government hospital went govt hospital due ailing stiff neck treated umid card wonder india ranked among lowest healthcare index,Mumbai,2022
4,doctor reading also government hospital resident,Mumbai,2022
5,le hygiene government veterinary hospital ashok stambh nashik doctor good due poor cleaning good atmosphere pet,Mumbai,2022
6,order develop strong health care system across country central government taking initiative like establishment new medical college hospital increasing number doctor paramedic,Mumbai,2022
7,shall throw india let take care health meet doctor chechen taking medication miss take regularly given free government hospital andheri east,Mumbai,2022
8,ward boy nair hospital mumbai central ask changing diaper adult patient call government hospital condition govt hospital capital maharashtra,Mumbai,2022
9,online school going south mumbai plz cleared dangerous situation government taken decision mumbai matter saying case death seven hill hospital plz closed school request,Mumbai,2022
10,government hospital getting worst day day ortho timing still regular basis doctor available covid scenerio gathering allowed government hospital people line,Mumbai,2021
11,state government admitted sc death due lack oxygen even hospital created ruckus kept mum,Mumbai,2021
12,sir even consequence opds running late waiting time casualty service increased doctor atients ratio government hospital worsened admission superspeciality dm mch either short staff overworked trying best,Mumbai,2021
13,please explain total many government school hospital inaugurated yogi ji per lakh people many doctor,Mumbai,2021
14,privatisation certainly help boost efficiency whereas public sector employee officer relaxed best example doctor government hospital police officer block official govt school teacher exception,Mumbai,2021
15,coz government hospital near government hospital postmortem,Mumbai,2021
16,government hospital much capable patient friend father treatment mucormicrosis harrasment jj hospital reach pm still test doctor available healthy plan,Mumbai,2021
17,anyone kid also get free ration subsidy etc government hospital filled peaceful people doctor even get rewarded hockey stick getting treated,Mumbai,2021
18,sir responsible state government hospital municipality doctor health worker information volunteer,Mumbai,2021
19,sir responsible state government hospital municipality doctor health worker information volunteer,Mumbai,2021
20,bihari family negative test report government hospital patna allowed leave without another rt pcr test mumbai reason test report handwritten stamped government doctor,Mumbai,2021
21,chetan maurya congress power rahulgandhi sleeping yr rule improve condition hospital doctor intelligent person rahulgandhi tweeting everyday government make preparation fight coronavirous,Mumbai,2021
22,doctor internship hospital covid centre must given insurance cover lakh maharashtra government,Mumbai,2021
23,dude allow relative covid ward even government hospital sake obviously work increase relative coz support patient even morally please covid warrior instead abusing doctor,Mumbai,2021
24,central mard demand academic fee waiver resident doctor government corporation medical college hospital maharashtra working tirelessly since day covid pandemic,Mumbai,2021
25,saying justifying death oxygen shortage ventilator uncle died varanasi hospital admitted even bhu worst government ever,Mumbai,2021
26,death patient admitted batra hospital due lack oxygen case gross negligence incompetence delhi union government doctor chase oxygen,Mumbai,2021
27,report coming valsad government hospital covid patient yet offered lunch food patient survive level negligence pls look food medical attention,Mumbai,2021
28,death due fire mumbra hospital responsible death government hospital mumbra,Mumbai,2021
29,central government feel delhi government dealing corona situation perfectly death various hospital mismanagement delhi sarkar state government dismissed government politics playing life,Mumbai,2021
30,common people mumbai maharashtra wondering government used expertise sandhya ji added hospital doctor yet,Mumbai,2021
31,helplessness doctor hospital whereas government political party concerned election rally,Mumbai,2021
32,shortage oxygen every state bed icu ventilaters hospital india news oxygen leak government put doctor scapegoat like dr kafeel ahmed,Mumbai,2021
33,inhuman act government failed walk life one side due election campaign virus increasing alarming way way facility hospital,Mumbai,2021
34,shame odisha government patient jajpur covid warrior doctor asst proff sum hospital medicine department pay respect covid warrior continuously discharging duty despite medical condition god save medical fraternity,Mumbai,2021
35,three dead body brought government medical college hospital dr avinash gawande medical superintendent gmc,Mumbai,2021
36,dental ayush doctor deployed covid hospital delhi view rising covid case delhi government,Mumbai,2021
37,new doctor appointment sanctioned government area hospital golkonda janab mla appreciate effort keeping karwan healthy thank,Mumbai,2021
38,need type condition disciple maintain every government hospital rest india,Mumbai,2021
39,kem hospital condition th august please thing poor dependent government hospital treatment,Mumbai,2020
40,private company selling friend none use government hospital government school seeing condition people would lay tax waste hard earned money taxpayer money used buy mlas tok form government,Mumbai,2020
41,junior doctor government general hospital vijayawada boycott duty th august part protest demanding hike stipend vijaywada government general hospital also state centre,Mumbai,2020
42,private hospital acquired treat patient per state government order doctor nursing staff hospital must serve patient,Mumbai,2020
43,sir time come audit private hospital bill government advisory ask refund excess money collected penalized blaming doctor management looting ordinary people,Mumbai,2020
44,government declared doctor going give free service corona patient india free corona within day,Mumbai,2020
45,precaution doctor tug claim part man rickshaw driver admitted hospital afford maharashtra government sponsored,Mumbai,2020
46,th episode tell resident doctor government hospital reached film star karnataka state education department adored little kid tune,Mumbai,2020
47,honestly speaking hve one vdeo taken today azaan going hospital beside mosque taken video azaan covid ambulance present loud loud azaan going cannot dare honestly post sorry government bjp come saviour,Mumbai,2020
48,homeopathy called curealls biggest fraud propagated charlatan government alike people forcibly infected virus claim cure watch run nearest allopathic doctor hospital,Mumbai,2020
49,hi raghav install electric cremation facility hospital premise help transportation dead body mostly government hospital large campus,Mumbai,2020
50,bjp party dummy stooge fraud sycophant human being dignity take name bjp connection death patient hospital government fool bjp understand stupid,Mumbai,2020
51,loot starting hospital ambulance doctor hair dresser great progress spirit technique standardised across industry copied hotel ola uber others wonderful progress bjp government,Mumbai,2020
52,government look forward towards regularising minimising cost private hospital covid treatment allow profiteering pandemic condition,Mumbai,2020
53,pmo fraudulent government become epicentre evil collecting money poor migrant worker needy service hospital doctor,Mumbai,2020
54,death rate increased day day people geating proper treatment shortage oxigen ventilator bed shortage doctor nurse hospital government capable proper medical arrangement covid positive case maharashtra,Mumbai,2020
55,death rate increased day day people geating proper treatment shortage oxigen ventilator bed shortage doctor nurse hospital government capable proper medical arrangement covid positive case maharashtra,Mumbai,2020
56,death rate increased day day people geating proper treatment shortage oxigen ventilator bed shortage doctor nurse hospital government capable proper medical arrangement covid positive case maharashtra,Mumbai,2020
57,death rate increased day day people geating proper treatment shortage oxigen ventilator bed shortage doctor nurse hospital government capable proper medical arrangement covid positive case maharashtra,Mumbai,2020
58,death rate increased day day people geating proper treatment shortage oxigen ventilator bed shortage doctor nurse hospital government capable proper medical arrangement covid positive case maharashtra,Mumbai,2020
59,death rate increased day day people geating proper treatment shortage oxigen ventilator bed shortage doctor nurse hospital government capable proper medical arrangement covid positive case maharashtra,Mumbai,2020
60,government constitutes member committee doctor make report situation hospital national capital availability medical facility also providing medical aid patient outside delhi,Mumbai,2020
61,lack shortage doctor nurse existing hospital already government going operating newly built covid hospital,Mumbai,2020
62,think high time rope big private hospital government hospital enough heard many case covid patient getting bed ambulance lab test delhi mumbai last two three day,Mumbai,2020
63,right sir vip get immediate treatment mumbai commn man geating treatment government private hospital mumbai ambulance available maharashtra capital covid govt totally failed control covid positive case maharashtra god save,Mumbai,2020
64,doctor get bed hospital fight covid vip get immediate facility mumbai government make special arrangement vip covid case mean covid affiliated person loo facility vip,Mumbai,2020
65,sir pls save triangular government failed corona tention pls take leadership mumbai ambulance service ground level covid hospital medical service yogesh gowda,Mumbai,2020
66,dead body wrapped plastic lying rajawadi hospital among patient hour together action taken hospital authority state government mumbai catastrophic situation people dying road dead body lying among patient,Mumbai,2020
67,covered duty minimum availability treating maximum think government improve hospital like good facility cleaning etc like private,Mumbai,2020
